idZonaHoraria,ZonaHoraria,Estado
1,GMT+9:30,Disponible
2,GMT+10:00,Disponible
3,GMT+00:00,Disponible
4,GMT+00:00,Disponible
5,GMT+3:00,Disponible
6,GMT+1:00,Disponible
7,GMT+3:00,Disponible
8,GMT+3:00,Disponible
9,GMT+00:00,Disponible
10,GMT+1:00,Disponible
11,GMT+00:00,Disponible
12,GMT+00:00,Disponible
13,GMT+2:00,Disponible
14,GMT+1:00,Disponible
15,GMT+2:00,Disponible
16,GMT+2:00,Disponible
17,GMT+00:00,Disponible
18,GMT+1:00,Disponible
19,GMT+00:00,Disponible
20,GMT+00:00,Disponible
21,GMT+3:00,Disponible
22,GMT+3:00,Disponible
23,GMT+1:00,Disponible
24,GMT+00:00,Disponible
25,GMT+00:00,Disponible
26,GMT+2:00,Disponible
27,GMT+2:00,Disponible
28,GMT+2:00,Disponible
29,GMT+3:00,Disponible
30,GMT+3:00,Disponible
31,GMT+2:00,Disponible
32,GMT+1:00,Disponible
33,GMT+1:00,Disponible
34,GMT+1:00,Disponible
35,GMT+00:00,Disponible
36,GMT+1:00,Disponible
37,GMT+2:00,Disponible
38,GMT+2:00,Disponible
39,GMT+1:00,Disponible
40,GMT+2:00,Disponible
41,GMT+2:00,Disponible
42,GMT+2:00,Disponible
43,GMT+3:00,Disponible
44,GMT+00:00,Disponible
45,GMT+3:00,Disponible
46,GMT+1:00,Disponible
47,GMT+1:00,Disponible
48,GMT+00:00,Disponible
49,GMT+00:00,Disponible
50,GMT+1:00,Disponible
51,GMT+00:00,Disponible
52,GMT+00:00,Disponible
53,GMT+2:00,Disponible
54,GMT+1:00,Disponible
55,GMT+1:00,Disponible
56,GMT-3:00,Disponible
57,GMT-10:00,Disponible
58,GMT-9:00,Disponible
59,GMT-4:00,Disponible
60,GMT-4:00,Disponible
61,GMT-3:00,Disponible
62,GMT-3:00,Disponible
63,GMT-3:00,Disponible
64,GMT-3:00,Disponible
65,GMT-3:00,Disponible
66,GMT-3:00,Disponible
67,GMT-3:00,Disponible
68,GMT-3:00,Disponible
69,GMT-3:00,Disponible
70,GMT-3:00,Disponible
71,GMT-3:00,Disponible
72,GMT-4:00,Disponible
73,GMT-3:00,Disponible
74,GMT-3:00,Disponible
75,GMT-4:00,Disponible
76,GMT-4:00,Disponible
77,GMT-5:00,Disponible
78,GMT-10:00,Disponible
79,GMT-3:00,Disponible
80,GMT-4:00,Disponible
81,GMT-3:00,Disponible
82,GMT-6:00,Disponible
83,GMT-4:00,Disponible
84,GMT-4:00,Disponible
85,GMT-5:00,Disponible
86,GMT-7:00,Disponible
87,GMT-3:00,Disponible
88,GMT-7:00,Disponible
89,GMT-4:00,Disponible
90,GMT-6:00,Disponible
91,GMT-4:30,Disponible
92,GMT-3:00,Disponible
93,GMT-3:00,Disponible
94,GMT-5:00,Disponible
95,GMT-6:00,Disponible
96,GMT-7:00,Disponible
97,GMT-5:00,Disponible
98,GMT-3:00,Disponible
99,GMT-6:00,Disponible
100,GMT-4:00,Disponible
101,GMT-4:00,Disponible
102,GMT+00:00,Disponible
103,GMT-8:00,Disponible
104,GMT-7:00,Disponible
105,GMT-7:00,Disponible
106,GMT-5:00,Disponible
107,GMT-4:00,Disponible
108,GMT-7:00,Disponible
109,GMT-4:00,Disponible
110,GMT-6:00,Disponible
111,GMT-8:00,Disponible
112,GMT-5:00,Disponible
113,GMT-3:00,Disponible
114,GMT-4:00,Disponible
115,GMT-3:00,Disponible
116,GMT-4:00,Disponible
117,GMT-5:00,Disponible
118,GMT-4:00,Disponible
119,GMT-4:00,Disponible
120,GMT-6:00,Disponible
121,GMT-5:00,Disponible
122,GMT-4:00,Disponible
123,GMT-4:00,Disponible
124,GMT-5:00,Disponible
125,GMT-7:00,Disponible
126,GMT-5:00,Disponible
127,GMT-6:00,Disponible
128,GMT-5:00,Disponible
129,GMT-5:00,Disponible
130,GMT-6:00,Disponible
131,GMT-5:00,Disponible
132,GMT-5:00,Disponible
133,GMT-5:00,Disponible
134,GMT-5:00,Disponible
135,GMT-7:00,Disponible
136,GMT-5:00,Disponible
137,GMT-5:00,Disponible
138,GMT-3:00,Disponible
139,GMT-9:00,Disponible
140,GMT-5:00,Disponible
141,GMT-5:00,Disponible
142,GMT-6:00,Disponible
143,GMT-4:00,Disponible
144,GMT-5:00,Disponible
145,GMT-8:00,Disponible
146,GMT-5:00,Disponible
147,GMT-3:00,Disponible
148,GMT-6:00,Disponible
149,GMT-4:00,Disponible
150,GMT-4:00,Disponible
151,GMT-4:00,Disponible
152,GMT-7:00,Disponible
153,GMT-3:00,Disponible
154,GMT-6:00,Disponible
155,GMT-6:00,Disponible
156,GMT-6:00,Disponible
157,GMT-3:00,Disponible
158,GMT-4:00,Disponible
159,GMT-6:00,Disponible
160,GMT-3:00,Disponible
161,GMT-5:00,Disponible
162,GMT-4:00,Disponible
163,GMT-5:00,Disponible
164,GMT-5:00,Disponible
165,GMT-5:00,Disponible
166,GMT-9:00,Disponible
167,GMT-2:00,Disponible
168,GMT-6:00,Disponible
169,GMT-6:00,Disponible
170,GMT-5:00,Disponible
171,GMT-5:00,Disponible
172,GMT-3:00,Disponible
173,GMT-7:00,Disponible
174,GMT-4:00,Disponible
175,GMT-5:00,Disponible
176,GMT-4:00,Disponible
177,GMT-4:00,Disponible
178,GMT-4:00,Disponible
179,GMT-6:00,Disponible
180,GMT-6:00,Disponible
181,GMT-3:00,Disponible
182,GMT-6:00,Disponible
183,GMT-5:00,Disponible
184,GMT-4:00,Disponible
185,GMT-3:00,Disponible
186,GMT-3:00,Disponible
187,GMT-4:00,Disponible
188,GMT-4:00,Disponible
189,GMT-3:00,Disponible
190,GMT-1:00,Disponible
191,GMT-7:00,Disponible
192,GMT-4:00,Disponible
193,GMT-3:30,Disponible
194,GMT-4:00,Disponible
195,GMT-4:00,Disponible
196,GMT-4:00,Disponible
197,GMT-4:00,Disponible
198,GMT-6:00,Disponible
199,GMT-6:00,Disponible
200,GMT-4:00,Disponible
201,GMT-5:00,Disponible
202,GMT-8:00,Disponible
203,GMT-5:00,Disponible
204,GMT-4:00,Disponible
205,GMT-8:00,Disponible
206,GMT-4:00,Disponible
207,GMT-8:00,Disponible
208,GMT-6:00,Disponible
209,GMT-9:00,Disponible
210,GMT-7:00,Disponible
211,GMT+8:00,Disponible
212,GMT+7:00,Disponible
213,GMT+10:00,Disponible
214,GMT+6:00,Disponible
215,GMT+12:00,Disponible
216,GMT-4:00,Disponible
217,GMT-3:00,Disponible
218,GMT+12:00,Disponible
219,GMT+3:00,Disponible
220,GMT+6:00,Disponible
221,GMT+1:00,Disponible
222,GMT+2:00,Disponible
223,GMT+3:00,Disponible
224,GMT+6:00,Disponible
225,GMT+2:00,Disponible
226,GMT+12:00,Disponible
227,GMT+5:00,Disponible
228,GMT+5:00,Disponible
229,GMT+5:00,Disponible
230,GMT+5:00,Disponible
231,GMT+3:00,Disponible
232,GMT+3:00,Disponible
233,GMT+4:00,Disponible
234,GMT+7:00,Disponible
235,GMT+2:00,Disponible
236,GMT+6:00,Disponible
237,GMT+8:00,Disponible
238,GMT+5:30,Disponible
239,GMT+8:00,Disponible
240,GMT+8:00,Disponible
241,GMT+8:00,Disponible
242,GMT+5:30,Disponible
243,GMT+6:00,Disponible
244,GMT+2:00,Disponible
245,GMT+6:00,Disponible
246,GMT+9:00,Disponible
247,GMT+4:00,Disponible
248,GMT+5:00,Disponible
249,GMT+2:00,Disponible
250,GMT+8:00,Disponible
251,GMT+7:00,Disponible
252,GMT+8:00,Disponible
253,GMT+7:00,Disponible
254,GMT+8:00,Disponible
255,GMT+2:00,Disponible
256,GMT+7:00,Disponible
257,GMT+9:00,Disponible
258,GMT+2:00,Disponible
259,GMT+4:30,Disponible
260,GMT+12:00,Disponible
261,GMT+5:00,Disponible
262,GMT+8:00,Disponible
263,GMT+5:45,Disponible
264,GMT+5:45,Disponible
265,GMT+5:30,Disponible
266,GMT+7:00,Disponible
267,GMT+8:00,Disponible
268,GMT+8:00,Disponible
269,GMT+3:00,Disponible
270,GMT+8:00,Disponible
271,GMT+8:00,Disponible
272,GMT+11:00,Disponible
273,GMT+8:00,Disponible
274,GMT+8:00,Disponible
275,GMT+4:00,Disponible
276,GMT+2:00,Disponible
277,GMT+6:00,Disponible
278,GMT+6:00,Disponible
279,GMT+5:00,Disponible
280,GMT+7:00,Disponible
281,GMT+7:00,Disponible
282,GMT+9:00,Disponible
283,GMT+3:00,Disponible
284,GMT+6:00,Disponible
285,GMT+6:30,Disponible
286,GMT+3:00,Disponible
287,GMT+3:07,Disponible
288,GMT+3:07,Disponible
289,GMT+3:07,Disponible
290,GMT+7:00,Disponible
291,GMT+10:00,Disponible
292,GMT+5:00,Disponible
293,GMT+9:00,Disponible
294,GMT+8:00,Disponible
295,GMT+8:00,Disponible
296,GMT+8:00,Disponible
297,GMT+5:00,Disponible
298,GMT+4:00,Disponible
299,GMT+3:30,Disponible
300,GMT+2:00,Disponible
301,GMT+6:00,Disponible
302,GMT+6:00,Disponible
303,GMT+9:00,Disponible
304,GMT+8:00,Disponible
305,GMT+8:00,Disponible
306,GMT+8:00,Disponible
307,GMT+8:00,Disponible
308,GMT+7:00,Disponible
309,GMT+10:00,Disponible
310,GMT+9:00,Disponible
311,GMT+5:00,Disponible
312,GMT+4:00,Disponible
313,GMT-9:00,Disponible
314,GMT-1:00,Disponible
315,GMT-4:00,Disponible
316,GMT+00:00,Disponible
317,GMT-1:00,Disponible
318,GMT+00:00,Disponible
319,GMT+00:00,Disponible
320,GMT+1:00,Disponible
321,GMT+00:00,Disponible
322,GMT+00:00,Disponible
323,GMT-2:00,Disponible
324,GMT+00:00,Disponible
325,GMT-4:00,Disponible
326,GMT+10:00,Disponible
327,GMT+9:30,Disponible
328,GMT+10:00,Disponible
329,GMT+9:30,Disponible
330,GMT+10:00,Disponible
331,GMT+10:00,Disponible
332,GMT+9:30,Disponible
333,GMT+8:45,Disponible
334,GMT+10:00,Disponible
335,GMT+10:30,Disponible
336,GMT+10:00,Disponible
337,GMT+10:30,Disponible
338,GMT+10:00,Disponible
339,GMT+9:30,Disponible
340,GMT+10:00,Disponible
341,GMT+8:00,Disponible
342,GMT+10:00,Disponible
343,GMT+9:30,Disponible
344,GMT+10:00,Disponible
345,GMT+10:00,Disponible
346,GMT+10:00,Disponible
347,GMT+8:00,Disponible
348,GMT+9:30,Disponible
349,GMT-3:00,Disponible
350,GMT-4:00,Disponible
351,GMT-2:00,Disponible
352,GMT-3:00,Disponible
353,GMT-4:00,Disponible
354,GMT+6:00,Disponible
355,GMT-4:00,Disponible
356,GMT-6:00,Disponible
357,GMT-5:00,Disponible
358,GMT-6:00,Disponible
359,GMT-7:00,Disponible
360,GMT-3:30,Disponible
361,GMT-8:00,Disponible
362,GMT-6:00,Disponible
363,GMT-8:00,Disponible
364,GMT+2:00,Disponible
365,GMT+1:00,Disponible
366,GMT-4:00,Disponible
367,GMT-6:00,Disponible
368,GMT-3:30,Disponible
369,GMT-6:00,Disponible
370,GMT-6:00,Disponible
371,GMT+8:00,Disponible
372,GMT-5:00,Disponible
373,GMT+3:00,Disponible
374,GMT+1:00,Disponible
375,GMT+2:00,Disponible
376,GMT+2:00,Disponible
377,GMT+00:00,Disponible
378,GMT-5:00,Disponible
379,GMT-5:00,Disponible
380,GMT+00:00,Disponible
381,GMT+00:00,Disponible
382,GMT+1:00,Disponible
383,GMT+10:00,Disponible
384,GMT+11:00,Disponible
385,GMT+12:00,Disponible
386,GMT+13:00,Disponible
387,GMT+14:00,Disponible
388,GMT+2:00,Disponible
389,GMT+3:00,Disponible
390,GMT+4:00,Disponible
391,GMT+5:00,Disponible
392,GMT+6:00,Disponible
393,GMT+7:00,Disponible
394,GMT+8:00,Disponible
395,GMT+9:00,Disponible
396,GMT+00:00,Disponible
397,GMT-1:00,Disponible
398,GMT-10:00,Disponible
399,GMT-11:00,Disponible
400,GMT-12:00,Disponible
401,GMT-2:00,Disponible
402,GMT-3:00,Disponible
403,GMT-4:00,Disponible
404,GMT-5:00,Disponible
405,GMT-6:00,Disponible
406,GMT-7:00,Disponible
407,GMT-8:00,Disponible
408,GMT-9:00,Disponible
409, GMT+00:00 ,Disponible
410,GMT+00:00,Disponible
411,GMT+00:00,Disponible
412,GMT+00:00,Disponible
413,GMT+00:00,Disponible
414,GMT+00:00,Disponible
415,GMT+1:00,Disponible
416,GMT+1:00,Disponible
417,GMT+2:00,Disponible
418,GMT+00:00,Disponible
419,GMT+1:00,Disponible
420,GMT+1:00,Disponible
421,GMT+1:00,Disponible
422,GMT+1:00,Disponible
423,GMT+2:00,Disponible
424,GMT+1:00,Disponible
425,GMT+2:00,Disponible
426,GMT+1:00,Disponible
427,GMT+00:00,Disponible
428,GMT+1:00,Disponible
429,GMT+00:00,Disponible
430,GMT+2:00,Disponible
431,GMT+00:00,Disponible
432,GMT+2:00,Disponible
433,GMT+00:00,Disponible
434,GMT+2:00,Disponible
435,GMT+2:00,Disponible
436,GMT+00:00,Disponible
437,GMT+1:00,Disponible
438,GMT+00:00,Disponible
439,GMT+1:00,Disponible
440,GMT+1:00,Disponible
441,GMT+1:00,Disponible
442,GMT+2:00,Disponible
443,GMT+2:00,Disponible
444,GMT+1:00,Disponible
445,GMT+3:00,Disponible
446,GMT+2:00,Disponible
447,GMT+1:00,Disponible
448,GMT+1:00,Disponible
449,GMT+1:00,Disponible
450,GMT+1:00,Disponible
451,GMT+2:00,Disponible
452,GMT+1:00,Disponible
453,GMT+4:00,Disponible
454,GMT+1:00,Disponible
455,GMT+1:00,Disponible
456,GMT+2:00,Disponible
457,GMT+1:00,Disponible
458,GMT+2:00,Disponible
459,GMT+1:00,Disponible
460,GMT+2:00,Disponible
461,GMT+1:00,Disponible
462,GMT+2:00,Disponible
463,GMT+2:00,Disponible
464,GMT+1:00,Disponible
465,GMT+1:00,Disponible
466,GMT+1:00,Disponible
467,GMT+2:00,Disponible
468,GMT+3:00,Disponible
469,GMT+1:00,Disponible
470,GMT+1:00,Disponible
471,GMT+2:00,Disponible
472,GMT+1:00,Disponible
473,GMT+00:00,Disponible
474,GMT+00:00,Disponible
475,GMT+00:00,Disponible
476,GMT+00:00,Disponible
477,GMT+00:00,Disponible
478,GMT+8:00,Disponible
479,GMT-10:00,Disponible
480,GMT+00:00,Disponible
481,GMT-5:00,Disponible
482,GMT+3:00,Disponible
483,GMT+6:00,Disponible
484,GMT+7:00,Disponible
485,GMT+6:30,Disponible
486,GMT+3:00,Disponible
487,GMT+5:00,Disponible
488,GMT+4:00,Disponible
489,GMT+5:00,Disponible
490,GMT+4:00,Disponible
491,GMT+3:00,Disponible
492,GMT+4:00,Disponible
493,GMT+3:30,Disponible
494,GMT+2:00,Disponible
495,GMT+5:30,Disponible
496,GMT-5:00,Disponible
497,GMT+9:00,Disponible
498,GMT+9:00,Disponible
499,GMT+12:00,Disponible
500,GMT+2:00,Disponible
501,GMT+1:00,Disponible
502,GMT-8:00,Disponible
503,GMT-7:00,Disponible
504,GMT-6:00,Disponible
505,GMT+3:07,Disponible
506,GMT+3:07,Disponible
507,GMT+3:07,Disponible
508,GMT-11:00,Disponible
509,GMT-7:00,Disponible
510,GMT-7:00,Disponible
511,GMT-7:00,Disponible
512,GMT+4:00,Disponible
513,GMT+12:00,Disponible
514,GMT+12:00,Disponible
515,GMT+12:45,Disponible
516,GMT-11:00,Disponible
517,GMT+12:00,Disponible
518,GMT+12:45,Disponible
519,GMT-6:00,Disponible
520,GMT+11:00,Disponible
521,GMT+13:00,Disponible
522,GMT-10:00,Disponible
523,GMT+12:00,Disponible
524,GMT+12:00,Disponible
525,GMT-6:00,Disponible
526,GMT-9:00,Disponible
527,GMT+11:00,Disponible
528,GMT+10:00,Disponible
529,GMT-10:00,Disponible
530,GMT-10:00,Disponible
531,GMT+14:00,Disponible
532,GMT+11:00,Disponible
533,GMT+12:00,Disponible
534,GMT+12:00,Disponible
535,GMT-9:30,Disponible
536,GMT-11:00,Disponible
537,GMT+12:00,Disponible
538,GMT-11:00,Disponible
539,GMT+11:30,Disponible
540,GMT+11:00,Disponible
541,GMT-11:00,Disponible
542,GMT+9:00,Disponible
543,GMT-8:00,Disponible
544,GMT+11:00,Disponible
545,GMT+10:00,Disponible
546,GMT-10:00,Disponible
547,GMT+10:00,Disponible
548,GMT-11:00,Disponible
549,GMT-10:00,Disponible
550,GMT+12:00,Disponible
551,GMT+13:00,Disponible
552,GMT+10:00,Disponible
553,GMT+12:00,Disponible
554,GMT+12:00,Disponible
555,GMT+10:00,Disponible
556,GMT+5:00,Disponible
557,GMT-7:00,Disponible
558,GMT+1:00,Disponible
559,GMT+00:00,Disponible
560,GMT+8:00,Disponible
561,GMT-4:00,Disponible
562,GMT-8:00,Disponible
563,GMT-8:00,Disponible
564,GMT+9:00,Disponible
565,GMT+8:00,Disponible
566,GMT+11:00,Disponible
567,GMT-4:00,Disponible
568,GMT-4:00,Disponible
569,GMT-6:00,Disponible
570,GMT-6:00,Disponible
571,GMT-5:00,Disponible
572,GMT-5:00,Disponible
573,GMT-10:00,Disponible
574,GMT-7:00,Disponible
575,GMT-7:00,Disponible
576,GMT-8:00,Disponible
577,GMT-8:00,Disponible
578,GMT-9:00,Disponible
579,GMT-9:00,Disponible
580,GMT+2:00,Disponible
581,GMT+00:00,Disponible
582,GMT+00:00,Disponible
583,GMT-9:00,Disponible
584,GMT-10:00,Disponible
585,GMT-7:00,Disponible
586,GMT-6:00,Disponible
587,GMT-5:00,Disponible
588,GMT-5:00,Disponible
589,GMT-10:00,Disponible
590,GMT-6:00,Disponible
591,GMT-5:00,Disponible
592,GMT-7:00,Disponible
593,GMT-8:00,Disponible
594,GMT-8:00,Disponible
595,GMT-11:00,Disponible
596,GMT+00:00,Disponible
597,GMT+7:00,Disponible
598,GMT+3:00,Disponible
599,GMT+00:00,Disponible
600,GMT+00:00,Disponible
